Feature,Importance
categorical__Strength_15MG,0.00025768828
categorical__DF;Route_CREAM;VAGINAL,0.00025196548
categorical__Ingredient_LEVETIRACETAM,0.0002476782
categorical__Appl_Type_A,0.00024607396
categorical__Strength_0.5MG,0.00023236976
categorical__Ingredient_FLUOROURACIL,0.00023235453
categorical__Ingredient_SODIUM BICARBONATE,0.00023210875
categorical__Strength_EQ 2% BASE;EQ 0.5% BASE,0.00022704783
numeric__RLD,0.00022669283
categorical__Ingredient_ZIPRASIDONE MESYLATE,0.00022451371
categorical__Strength_0.06MG/24HR,0.00022315557
categorical__Strength_5MG,0.00021532943
categorical__Ingredient_PILOCARPINE HYDROCHLORIDE,0.00021090836
numeric__RS,0.00020467778
categorical__Strength_180MG,0.00019997713
categorical__Strength_420MG,0.00019342224
categorical__Ingredient_ADAPALENE,0.00018635478
categorical__Strength_120MG,0.0001830359
categorical__Strength_240MG,0.0001745884
categorical__Ingredient_HALCINONIDE,0.00016563394
categorical__Strength_27MG,0.00016359707
"categorical__Strength_0.2MG **See current Annual Edition, 1.8 Description of Special Situations, Levothyroxine Sodium",0.00015205423
"categorical__Strength_0.125MG **See current Annual Edition, 1.8 Description of Special Situations, Levothyroxine Sodium",0.00015173422
categorical__DF;Route_GEL;VAGINAL,0.00015104513
"categorical__Strength_0.175MG **See current Annual Edition, 1.8 Description of Special Situations, Levothyroxine Sodium",0.00015034137
categorical__Strength_25MG/2.5GM PACKET,0.0001472139
"categorical__Strength_0.15MG **See current Annual Edition, 1.8 Description of Special Situations, Levothyroxine Sodium",0.00014677274
categorical__Strength_360MG,0.00014594333
"categorical__Strength_0.088MG **See current Annual Edition, 1.8 Description of Special Situations, Levothyroxine Sodium",0.0001450365
"categorical__Dosage_Form_GEL, METERED",0.00014400802
categorical__Strength_10MG,0.00014379252
categorical__Ingredient_SEVOFLURANE,0.00014336036
"categorical__Strength_0.3MG **See current Annual Edition, 1.8 Description of Special Situations, Levothyroxine Sodium",0.00014191018
categorical__Ingredient_NEOSTIGMINE METHYLSULFATE,0.00014059378
"categorical__Strength_0.075MG **See current Annual Edition, 1.8 Description of Special Situations, Levothyroxine Sodium",0.00013838308
categorical__Strength_50MG/VIAL,0.00013739649
categorical__Strength_EQ 1MG BASE,0.00013214763
categorical__Strength_40MG,0.00013068778
categorical__Strength_5MG/5ML,0.00012997676
categorical__Strength_EQ 0.25% BASE,0.00012065797
"categorical__Strength_0.112MG **See current Annual Edition, 1.8 Description of Special Situations, Levothyroxine Sodium",0.00011742869
