Gnrc_Name,Brnd_Name,Tot_Clms,Tot_Drug_Cst,Tot_Benes,Tot_30day_Fills,Tot_Day_Suply,year
Ado-Trastuzumab Emtansine,Kadcyla,178,1089660.58,35.0,178.0,3819,2019
Ado-Trastuzumab Emtansine,Kadcyla,226,1627830.46,65.0,226.0,4789,2020
Ado-Trastuzumab Emtansine,Kadcyla,366,3090950.18,105.0,366.0,7686,2021
Ado-Trastuzumab Emtansine,Kadcyla,283,2565325.7800000003,85.0,283.0,5952,2022
Ado-Trastuzumab Emtansine,Kadcyla,131,1559383.24,45.0,131.0,2751,2023
Ado-Trastuzumab Emtansine,Kadcyla,211,2104273.25,70.0,211.0,4242,2024
Afatinib Dimaleate,Gilotrif,2862,25691921.44,951.0,2885.3,86351,2019
Afatinib Dimaleate,Gilotrif,2044,19870495.6,695.0,2050.0,61418,2020
Afatinib Dimaleate,Gilotrif,1580,16292448.699999996,565.0,1580.0,47161,2021
Afatinib Dimaleate,Gilotrif,1533,16508410.17,550.0,1543.0,46078,2022
Afatinib Dimaleate,Gilotrif,1805,20750866.549999997,655.0,1807.0,53999,2023
Afatinib Dimaleate,Gilotrif,2499,28511217.320000004,865.0,2504.5,74840,2024
Aflibercept,Eylea,7685,19147541.62,1946.0,8035.399999999998,228249,2019
Aflibercept,Eylea,8929,22693900.27,2237.0,9365.5,265485,2020
Aflibercept,Eylea,11072,28482702.36,2784.0,11517.8,326127,2021
Aflibercept,Eylea,25462,65392603.95,6109.0,26856.699999999997,761405,2022
Aflibercept,Eylea,27629,71104321.53,6886.0,29295.2,830842,2023
Aflibercept,Eylea,31095,78055251.64999998,8063.0,33670.99999999999,957172,2024
Agalsidase Beta,Fabrazyme,1570,25553552.739999995,295.0,1570.0,36044,2019
Agalsidase Beta,Fabrazyme,1586,26380225.410000004,290.0,1586.0,37492,2020
Agalsidase Beta,Fabrazyme,1614,30160248.220000003,315.0,1621.2,40954,2021
Agalsidase Beta,Fabrazyme,1720,35137214.05,320.0,1734.4,43344,2022
Agalsidase Beta,Fabrazyme,1646,34413429.27,305.0,1656.8,41278,2023
Agalsidase Beta,Fabrazyme,1926,39054726.47,340.0,1936.8,49229,2024
Albendazole,Albendazole,265,1485342.09,133.0,266.7,3146,2019
Albendazole,Albendazole,739,2242211.7099999995,441.0,741.6,7226,2020
Albendazole,Albendazole,862,1565291.98,318.0,862.0,6103,2021
Albendazole,Albendazole,557,3363728.93,232.0,570.0,10762,2022
Albendazole,Albendazole,597,3297754.9800000004,263.0,609.6999999999999,11171,2023
Albendazole,Albendazole,857,1623429.43,338.0,866.1,12770,2024
Albumin Human,Flexbumin,51,25085.23,5.0,51.0,362,2019
Albumin Human,Flexbumin,108,40990.03,15.0,110.2,822,2020
Albumin Human,Albuked-25,76,17533.05,20.0,76.0,449,2021
Albumin Human,Flexbumin,11,21332.52,5.0,11.0,155,2022
Albumin Human,Albutein,37,51027.42999999999,10.0,37.0,397,2023
Albumin Human,Albuked-25,111,74053.91,30.0,111.0,828,2024
Albuterol Sulfate,Proair Hfa,12096664,850750849.27,4854505.0,14023865.300000004,339042044,2019
