Ingredient,DF;Route,Trade_Name,Applicant,Strength,Appl_Type,Appl_No,Product_No,TE_Code,Approval_Date,RLD,RS,Type,Applicant_Full_Name,Dosage_Form,Route_Of_Administration,Approved_Prior_To_1982,Approval_Date_ISO,AB_Family,RLD_Trade_Name,RLD_Appl_No,RLD_Product_No,RLD_TE_Code,Patent_Count,Patent_Numbers,Patent_Expiry,Patent_Use_Codes,Exclusivity_Count,Exclusivity_Codes,Exclusivity_Dates,Predicted_TE_Code,TE_Score,Patent_Score,Exclusivity_Score,RS_Score,Final_Score,Rank
BENZOYL PEROXIDE; CLINDAMYCIN PHOSPHATE,GEL;TOPICAL,CLINDAMYCIN PHOSPHATE AND BENZOYL PEROXIDE,PADAGIS ISRAEL,5%;1.2%,A,90979,1,AB,"Jun 26, 2012",False,True,RX,PADAGIS ISRAEL PHARMACEUTICALS LTD,GEL,TOPICAL,False,2012-06-26,True,DUAC,50741,1,AB,0.0,,,,0.0,,,AB,1.0,1.0,1.0,1.0,1.0,57
BENZOYL PEROXIDE; CLINDAMYCIN PHOSPHATE,GEL;TOPICAL,CLINDAMYCIN PHOSPHATE AND BENZOYL PEROXIDE,GLENMARK SPECLT,5%;EQ 1% BASE,A,209252,1,AB,"Mar 14, 2019",False,True,RX,GLENMARK SPECIALTY SA,GEL,TOPICAL,False,2019-03-14,True,BENZACLIN,50756,1,,0.0,,,,0.0,,,AB,1.0,1.0,1.0,1.0,1.0,58
ADAPALENE; BENZOYL PEROXIDE,GEL;TOPICAL,ADAPALENE AND BENZOYL PEROXIDE,SUN PHARMA CANADA,0.1%;2.5%,A,206959,1,AB,"Jan 24, 2018",False,True,RX,SUN PHARMA CANADA INC,GEL,TOPICAL,False,2018-01-24,True,EPIDUO,22320,1,,0.0,,,,0.0,,,AB,1.0,1.0,1.0,1.0,1.0,59
ADAPALENE; BENZOYL PEROXIDE,GEL;TOPICAL,ADAPALENE AND BENZOYL PEROXIDE,SUN PHARMA CANADA,0.1%;2.5%,A,206959,1,AB,"Jan 24, 2018",False,True,RX,SUN PHARMA CANADA INC,GEL,TOPICAL,False,2018-01-24,True,DIFFERIN EPIDUO,220736,1,,0.0,,,,0.0,,,AB,1.0,1.0,1.0,1.0,1.0,60
METHYLTESTOSTERONE,CAPSULE;ORAL,METHYLTESTOSTERONE,IMPAX LABS INC,10MG,A,204851,1,AB,"Sep 21, 2015",False,True,RX,IMPAX LABORATORIES INC,CAPSULE,ORAL,False,2015-09-21,True,TESTRED,83976,1,,0.0,,,,0.0,,,AB,1.0,1.0,1.0,1.0,1.0,61
LIOTHYRONINE SODIUM,TABLET;ORAL,LIOTHYRONINE SODIUM,SIGMAPHARM LABS LLC,EQ 0.05MG BASE,A,200295,3,AB,"Nov 29, 2012",False,True,RX,SIGMAPHARM LABORATORIES LLC,TABLET,ORAL,False,2012-11-29,True,CYTOMEL,10379,3,AB,0.0,,,,0.0,,,AB,1.0,1.0,1.0,1.0,1.0,62
SILDENAFIL CITRATE,FOR SUSPENSION;ORAL,SILDENAFIL CITRATE,AUROBINDO PHARMA LTD,EQ 10MG BASE/ML,A,214773,1,AB,"Dec 23, 2022",False,True,RX,AUROBINDO PHARMA LTD,FOR SUSPENSION,ORAL,False,2022-12-23,True,REVATIO,203109,1,,0.0,,,,0.0,,,AB,1.0,1.0,1.0,1.0,1.0,63
SEVELAMER CARBONATE,FOR SUSPENSION;ORAL,SEVELAMER CARBONATE,STRIDES PHARMA INTL,2.4GM/PACKET,A,211917,2,AB,"Sep 8, 2023",False,True,RX,STRIDES PHARMA INTERNATIONAL AG,FOR SUSPENSION,ORAL,False,2023-09-08,True,RENVELA,22318,2,,0.0,,,,0.0,,,AB,1.0,1.0,1.0,1.0,1.0,64
NORTRIPTYLINE HYDROCHLORIDE,CAPSULE;ORAL,NORTRIPTYLINE HYDROCHLORIDE,TEVA,EQ 75MG BASE,A,74132,4,AB,"Mar 27, 1995",False,True,RX,TEVA PHARMACEUTICALS USA INC,CAPSULE,ORAL,False,1995-03-27,True,PAMELOR,18013,3,,0.0,,,,0.0,,,AB,1.0,1.0,1.0,1.0,1.0,65
DOXORUBICIN HYDROCHLORIDE,"INJECTABLE, LIPOSOMAL;INJECTION",DOXORUBICIN HYDROCHLORIDE (LIPOSOMAL),SUN PHARM,20MG/10ML (2MG/ML),A,203263,1,AB,"Feb 4, 2013",False,True,RX,SUN PHARMACEUTICAL INDUSTRIES LTD,"INJECTABLE, LIPOSOMAL",INJECTION,False,2013-02-04,True,DOXIL (LIPOSOMAL),50718,1,AB,0.0,,,,0.0,,,AB,1.0,1.0,1.0,1.0,1.0,66
